id,time,value
TSADC01/Table_1_1/Tourism_share_of_GDP,17,1.6
TSADC01/Table_1_1/Tourism_share_of_GDP,18,2.8
TSADC01/Table_1_1/Tourism_share_of_GDP,19,2.9
TSADC01/Table_1_1/Tourism_GDP_current_price,1,4.3
TSADC01/Table_1_1/Tourism_GDP_current_price,2,6.4
TSADC01/Table_1_1/Tourism_GDP_current_price,3,5.6
TSADC01/Table_1_1/Tourism_GDP_current_price,4,1.3
TSADC01/Table_1_1/Tourism_GDP_current_price,5,5.5
TSADC01/Table_1_1/Tourism_GDP_current_price,6,1.0
TSADC01/Table_1_1/Tourism_GDP_current_price,7,5.4
TSADC01/Table_1_1/Tourism_GDP_current_price,8,4.3
TSADC01/Table_1_1/Tourism_GDP_current_price,9,1.4
TSADC01/Table_1_1/Tourism_GDP_current_price,10,9.4
TSADC01/Table_1_1/Tourism_GDP_current_price,11,7.2
TSADC01/Table_1_1/Tourism_GDP_current_price,12,5.9
TSADC01/Table_1_1/Tourism_GDP_current_price,13,7.8
TSADC01/Table_1_1/Tourism_GDP_current_price,14,11.1
TSADC01/Table_1_1/Tourism_GDP_current_price,15,-19.8
TSADC01/Table_1_1/Tourism_GDP_current_price,16,-36.2
TSADC01/Table_1_1/Tourism_GDP_current_price,17,21.6
TSADC01/Table_1_1/Tourism_GDP_current_price,18,90.8
TSADC01/Table_1_1/Tourism_GDP_current_price,19,9.1
TSADC01/Table_1_1/Whole_economy_GDP_current_price_d,1,8.0
TSADC01/Table_1_1/Whole_economy_GDP_current_price_d,2,8.9
TSADC01/Table_1_1/Whole_economy_GDP_current_price_d,3,8.3
TSADC01/Table_1_1/Whole_economy_GDP_current_price_d,4,6.9
TSADC01/Table_1_1/Whole_economy_GDP_current_price_d,5,3.4
TSADC01/Table_1_1/Whole_economy_GDP_current_price_d,6,8.8
TSADC01/Table_1_1/Whole_economy_GDP_current_price_d,7,5.8
TSADC01/Table_1_1/Whole_economy_GDP_current_price_d,8,2.4
TSADC01/Table_1_1/Whole_economy_GDP_current_price_d,9,4.0
TSADC01/Table_1_1/Whole_economy_GDP_current_price_d,10,1.6
TSADC01/Table_1_1/Whole_economy_GDP_current_price_d,11,2.1
TSADC01/Table_1_1/Whole_economy_GDP_current_price_d,12,6.0
TSADC01/Table_1_1/Whole_economy_GDP_current_price_d,13,4.8
TSADC01/Table_1_1/Whole_economy_GDP_current_price_d,14,5.7
TSADC01/Table_1_1/Whole_economy_GDP_current_price_d,15,1.8
TSADC01/Table_1_1/Whole_economy_GDP_current_price_d,16,5.3
TSADC01/Table_1_1/Whole_economy_GDP_current_price_d,17,11.7
TSADC01/Table_1_1/Whole_economy_GDP_current_price_d,18,10.2
TSADC01/Table_1_1/Whole_economy_GDP_current_price_d,19,4.1
TSADC01/Table_1_1/Tourism_GDP_chain_volume_measures,2,3.6
TSADC01/Table_1_1/Tourism_GDP_chain_volume_measures,3,2.7
TSADC01/Table_1_1/Tourism_GDP_chain_volume_measures,4,-2.5
TSADC01/Table_1_1/Tourism_GDP_chain_volume_measures,5,1.9
TSADC01/Table_1_1/Tourism_GDP_chain_volume_measures,6,-1.7
TSADC01/Table_1_1/Tourism_GDP_chain_volume_measures,7,2.2
TSADC01/Table_1_1/Tourism_GDP_chain_volume_measures,8,2.1
TSADC01/Table_1_1/Tourism_GDP_chain_volume_measures,9,-2.0
TSADC01/Table_1_1/Tourism_GDP_chain_volume_measures,10,7.3
TSADC01/Table_1_1/Tourism_GDP_chain_volume_measures,11,6.2
TSADC01/Table_1_1/Tourism_GDP_chain_volume_measures,12,5.7
TSADC01/Table_1_1/Tourism_GDP_chain_volume_measures,13,6.4
TSADC01/Table_1_1/Tourism_GDP_chain_volume_measures,14,7.5
TSADC01/Table_1_1/Tourism_GDP_chain_volume_measures,15,-20.6
TSADC01/Table_1_1/Tourism_GDP_chain_volume_measures,16,-37.6
TSADC01/Table_1_1/Tourism_GDP_chain_volume_measures,17,19.6
TSADC01/Table_1_1/Tourism_GDP_chain_volume_measures,18,64.1
TSADC01/Table_1_1/Tourism_GDP_chain_volume_measures,19,5.5
TSADC01/Table_1_1/Whole_economy_GDP_chain_volume_measures_d,2,3.8
TSADC01/Table_1_1/Whole_economy_GDP_chain_volume_measures_d,3,3.6
TSADC01/Table_1_1/Whole_economy_GDP_chain_volume_measures_d,4,1.9
TSADC01/Table_1_1/Whole_economy_GDP_chain_volume_measures_d,5,2.2
TSADC01/Table_1_1/Whole_economy_GDP_chain_volume_measures_d,6,2.4
TSADC01/Table_1_1/Whole_economy_GDP_chain_volume_measures_d,7,3.9
TSADC01/Table_1_1/Whole_economy_GDP_chain_volume_measures_d,8,2.6
TSADC01/Table_1_1/Whole_economy_GDP_chain_volume_measures_d,9,2.6
TSADC01/Table_1_1/Whole_economy_GDP_chain_volume_measures_d,10,2.2
TSADC01/Table_1_1/Whole_economy_GDP_chain_volume_measures_d,11,2.8
TSADC01/Table_1_1/Whole_economy_GDP_chain_volume_measures_d,12,2.3
TSADC01/Table_1_1/Whole_economy_GDP_chain_volume_measures_d,13,2.9
TSADC01/Table_1_1/Whole_economy_GDP_chain_volume_measures_d,14,2.2
TSADC01/Table_1_1/Whole_economy_GDP_chain_volume_measures_d,15,-0.1
TSADC01/Table_1_1/Whole_economy_GDP_chain_volume_measures_d,16,2.1
TSADC01/Table_1_1/Whole_economy_GDP_chain_volume_measures_d,17,4.2
TSADC01/Table_1_1/Whole_economy_GDP_chain_volume_measures_d,18,3.4
TSADC01/Table_1_1/Whole_economy_GDP_chain_volume_measures_d,19,1.4
TSADC01/Table_1_2/Household_visitors,0,16888.0
TSADC01/Table_1_2/Household_visitors,1,17965.0
TSADC01/Table_1_2/Household_visitors,2,19048.0
TSADC01/Table_1_2/Household_visitors,3,20177.0
TSADC01/Table_1_2/Household_visitors,4,20277.0
TSADC01/Table_1_2/Household_visitors,5,22043.0
TSADC01/Table_1_2/Household_visitors,6,21575.0
TSADC01/Table_1_2/Household_visitors,7,22610.0
TSADC01/Table_1_2/Household_visitors,8,23989.0
TSADC01/Table_1_2/Household_visitors,9,24290.0
TSADC01/Table_1_2/Household_visitors,10,25697.0
TSADC01/Table_1_2/Household_visitors,11,27197.0
TSADC01/Table_1_2/Household_visitors,12,28568.0
TSADC01/Table_1_2/Household_visitors,13,30600.0
TSADC01/Table_1_2/Household_visitors,14,33655.0
TSADC01/Table_1_2/Household_visitors,15,27814.0
TSADC01/Table_1_2/Household_visitors,16,26534.0
TSADC01/Table_1_2/Household_visitors,17,30162.0
TSADC01/Table_1_2/Household_visitors,18,48482.0
TSADC01/Table_1_2/Household_visitors,19,49018.0
TSADC01/Table_1_2/Business_government_visitors,0,4452.0
TSADC01/Table_1_2/Business_government_visitors,1,4643.0
TSADC01/Table_1_2/Business_government_visitors,2,4876.0
TSADC01/Table_1_2/Business_government_visitors,3,5006.0
TSADC01/Table_1_2/Business_government_visitors,4,4768.0
TSADC01/Table_1_2/Business_government_visitors,5,4746.0
TSADC01/Table_1_2/Business_government_visitors,6,5186.0
TSADC01/Table_1_2/Business_government_visitors,7,6096.0
TSADC01/Table_1_2/Business_government_visitors,8,5907.0
TSADC01/Table_1_2/Business_government_visitors,9,6100.0
TSADC01/Table_1_2/Business_government_visitors,10,7017.0
TSADC01/Table_1_2/Business_government_visitors,11,7335.0
TSADC01/Table_1_2/Business_government_visitors,12,7513.0
TSADC01/Table_1_2/Business_government_visitors,13,8294.0
TSADC01/Table_1_2/Business_government_visitors,14,10068.0
TSADC01/Table_1_2/Business_government_visitors,15,7796.0
TSADC01/Table_1_2/Business_government_visitors,16,3925.0
TSADC01/Table_1_2/Business_government_visitors,17,4846.0
TSADC01/Table_1_2/Business_government_visitors,18,11851.0
TSADC01/Table_1_2/Business_government_visitors,19,12263.0
TSADC01/Table_1_2/Total_domestic_visitors,0,21339.0
TSADC01/Table_1_2/Total_domestic_visitors,1,22608.0
TSADC01/Table_1_2/Total_domestic_visitors,2,23924.0
TSADC01/Table_1_2/Total_domestic_visitors,3,25183.0
TSADC01/Table_1_2/Total_domestic_visitors,4,25045.0
TSADC01/Table_1_2/Total_domestic_visitors,5,26789.0
TSADC01/Table_1_2/Total_domestic_visitors,6,26761.0
TSADC01/Table_1_2/Total_domestic_visitors,7,28705.0
TSADC01/Table_1_2/Total_domestic_visitors,8,29896.0
TSADC01/Table_1_2/Total_domestic_visitors,9,30390.0
TSADC01/Table_1_2/Total_domestic_visitors,10,32714.0
TSADC01/Table_1_2/Total_domestic_visitors,11,34532.0
TSADC01/Table_1_2/Total_domestic_visitors,12,36081.0
TSADC01/Table_1_2/Total_domestic_visitors,13,38895.0
TSADC01/Table_1_2/Total_domestic_visitors,14,43722.0
TSADC01/Table_1_2/Total_domestic_visitors,15,35610.0
TSADC01/Table_1_2/Total_domestic_visitors,16,30459.0
TSADC01/Table_1_2/Total_domestic_visitors,17,35008.0
TSADC01/Table_1_2/Total_domestic_visitors,18,60333.0
TSADC01/Table_1_2/Total_domestic_visitors,19,61281.0
TSADC01/Table_1_2/International_visitors,0,7420.0
TSADC01/Table_1_2/International_visitors,1,7380.0
