id,time,value
prison/Sentenced_persons_in_full_time_custody/SA,0,1675.0
prison/Sentenced_persons_in_full_time_custody/WA,0,4350.0
prison/Sentenced_persons_in_full_time_custody/Tas,0,453.0
prison/Sentenced_persons_in_full_time_custody/NT,0,1233.0
prison/Sentenced_persons_in_full_time_custody/ACT,0,231.0
prison/Sentenced_persons_in_full_time_custody/Aust,0,25436.0
prison/Sentenced_persons_in_full_time_custody/NSW,1,7601.0
prison/Sentenced_persons_in_full_time_custody/Vic,1,3848.0
prison/Sentenced_persons_in_full_time_custody/Qld,1,6263.0
prison/Sentenced_persons_in_full_time_custody/SA,1,1664.0
prison/Sentenced_persons_in_full_time_custody/WA,1,4108.0
prison/Sentenced_persons_in_full_time_custody/Tas,1,448.0
prison/Sentenced_persons_in_full_time_custody/NT,1,1223.0
prison/Sentenced_persons_in_full_time_custody/ACT,1,211.0
prison/Sentenced_persons_in_full_time_custody/Aust,1,25367.0
prison/Sentenced_persons_in_full_time_custody/NSW,2,7631.0
prison/Sentenced_persons_in_full_time_custody/Vic,2,3886.0
prison/Sentenced_persons_in_full_time_custody/Qld,2,6467.0
prison/Sentenced_persons_in_full_time_custody/SA,2,1648.0
prison/Sentenced_persons_in_full_time_custody/WA,2,4233.0
prison/Sentenced_persons_in_full_time_custody/Tas,2,438.0
prison/Sentenced_persons_in_full_time_custody/NT,2,1280.0
prison/Sentenced_persons_in_full_time_custody/ACT,2,204.0
prison/Sentenced_persons_in_full_time_custody/Aust,2,25788.0
prison/Post_sentenced_persons_in_full_time_custody/NSW,0,1.0
prison/Post_sentenced_persons_in_full_time_custody/Vic,0,5.0
prison/Post_sentenced_persons_in_full_time_custody/Qld,0,73.0
prison/Post_sentenced_persons_in_full_time_custody/WA,0,26.0
prison/Post_sentenced_persons_in_full_time_custody/Tas,0,5.0
prison/Post_sentenced_persons_in_full_time_custody/NT,0,1.0
prison/Post_sentenced_persons_in_full_time_custody/Aust,0,111.0
prison/Post_sentenced_persons_in_full_time_custody/NSW,1,0.0
prison/Post_sentenced_persons_in_full_time_custody/Vic,1,3.0
prison/Post_sentenced_persons_in_full_time_custody/Qld,1,61.0
prison/Post_sentenced_persons_in_full_time_custody/WA,1,25.0
prison/Post_sentenced_persons_in_full_time_custody/Tas,1,4.0
prison/Post_sentenced_persons_in_full_time_custody/NT,1,2.0
prison/Post_sentenced_persons_in_full_time_custody/Aust,1,96.0
prison/Post_sentenced_persons_in_full_time_custody/NSW,2,0.0
prison/Post_sentenced_persons_in_full_time_custody/Vic,2,3.0
prison/Post_sentenced_persons_in_full_time_custody/Qld,2,64.0
prison/Post_sentenced_persons_in_full_time_custody/WA,2,23.0
prison/Post_sentenced_persons_in_full_time_custody/Tas,2,4.0
prison/Post_sentenced_persons_in_full_time_custody/NT,2,1.0
prison/Post_sentenced_persons_in_full_time_custody/Aust,2,95.0
prison/Persons_in_full_time_custody/NSW,0,12462.0
prison/Persons_in_full_time_custody/Vic,0,6663.0
prison/Persons_in_full_time_custody/Qld,0,9253.0
prison/Persons_in_full_time_custody/SA,0,3087.0
prison/Persons_in_full_time_custody/WA,0,6252.0
prison/Persons_in_full_time_custody/Tas,0,642.0
prison/Persons_in_full_time_custody/NT,0,1921.0
prison/Persons_in_full_time_custody/ACT,0,380.0
prison/Persons_in_full_time_custody/Aust,0,40660.0
prison/Persons_in_full_time_custody/NSW,1,12492.0
prison/Persons_in_full_time_custody/Vic,1,6669.0
prison/Persons_in_full_time_custody/Qld,1,9923.0
prison/Persons_in_full_time_custody/SA,1,3127.0
prison/Persons_in_full_time_custody/WA,1,6321.0
prison/Persons_in_full_time_custody/Tas,1,691.0
prison/Persons_in_full_time_custody/NT,1,2011.0
prison/Persons_in_full_time_custody/ACT,1,387.0
prison/Persons_in_full_time_custody/Aust,1,41621.0
prison/Persons_in_full_time_custody/NSW,2,12632.0
prison/Persons_in_full_time_custody/Vic,2,6503.0
prison/Persons_in_full_time_custody/Qld,2,10293.0
prison/Persons_in_full_time_custody/SA,2,3039.0
prison/Persons_in_full_time_custody/WA,2,6575.0
prison/Persons_in_full_time_custody/Tas,2,726.0
prison/Persons_in_full_time_custody/NT,2,2084.0
prison/Persons_in_full_time_custody/ACT,2,378.0
prison/Persons_in_full_time_custody/Aust,2,42231.0
prison/Males_in_community_based_corrections/NSW,0,27692.0
prison/Males_in_community_based_corrections/Vic,0,8235.0
prison/Males_in_community_based_corrections/Qld,0,15001.0
prison/Males_in_community_based_corrections/SA,0,4129.0
prison/Males_in_community_based_corrections/WA,0,4374.0
prison/Males_in_community_based_corrections/Tas,0,1679.0
prison/Males_in_community_based_corrections/NT,0,971.0
prison/Males_in_community_based_corrections/ACT,0,730.0
prison/Males_in_community_based_corrections/Aust,0,62811.0
prison/Males_in_community_based_corrections/NSW,1,28460.0
prison/Males_in_community_based_corrections/Vic,1,9170.0
prison/Males_in_community_based_corrections/Qld,1,14432.0
prison/Males_in_community_based_corrections/SA,1,4170.0
prison/Males_in_community_based_corrections/WA,1,4670.0
prison/Males_in_community_based_corrections/Tas,1,1574.0
prison/Males_in_community_based_corrections/NT,1,1114.0
prison/Males_in_community_based_corrections/ACT,1,617.0
prison/Males_in_community_based_corrections/Aust,1,64206.0
prison/Males_in_community_based_corrections/NSW,2,28972.0
prison/Males_in_community_based_corrections/Vic,2,9191.0
prison/Males_in_community_based_corrections/Qld,2,14211.0
prison/Males_in_community_based_corrections/SA,2,4261.0
prison/Males_in_community_based_corrections/WA,2,4720.0
prison/Males_in_community_based_corrections/Tas,2,1549.0
prison/Males_in_community_based_corrections/NT,2,1167.0
prison/Males_in_community_based_corrections/ACT,2,629.0
prison/Males_in_community_based_corrections/Aust,2,64700.0
prison/Females_in_community_based_corrections/NSW,0,5912.0
prison/Females_in_community_based_corrections/Vic,0,1412.0
prison/Females_in_community_based_corrections/Qld,0,4580.0
prison/Females_in_community_based_corrections/SA,0,993.0
prison/Females_in_community_based_corrections/WA,0,1234.0
prison/Females_in_community_based_corrections/Tas,0,406.0
prison/Females_in_community_based_corrections/NT,0,193.0
prison/Females_in_community_based_corrections/ACT,0,145.0
prison/Females_in_community_based_corrections/Aust,0,14874.0
prison/Females_in_community_based_corrections/NSW,1,6076.0
prison/Females_in_community_based_corrections/Vic,1,1539.0
prison/Females_in_community_based_corrections/Qld,1,4499.0
prison/Females_in_community_based_corrections/SA,1,936.0
prison/Females_in_community_based_corrections/WA,1,1314.0
prison/Females_in_community_based_corrections/Tas,1,396.0
prison/Females_in_community_based_corrections/NT,1,218.0
prison/Females_in_community_based_corrections/ACT,1,127.0
prison/Females_in_community_based_corrections/Aust,1,15104.0
prison/Females_in_community_based_corrections/NSW,2,6234.0
prison/Females_in_community_based_corrections/Vic,2,1532.0
prison/Females_in_community_based_corrections/Qld,2,4483.0
prison/Females_in_community_based_corrections/SA,2,932.0
prison/Females_in_community_based_corrections/WA,2,1324.0
prison/Females_in_community_based_corrections/Tas,2,404.0
prison/Females_in_community_based_corrections/NT,2,216.0
prison/Females_in_community_based_corrections/ACT,2,123.0
prison/Females_in_community_based_corrections/Aust,2,15248.0
prison/Persons_in_community_based_corrections/NSW,0,33625.0
prison/Persons_in_community_based_corrections/Vic,0,9650.0
prison/Persons_in_community_based_corrections/Qld,0,19581.0
prison/Persons_in_community_based_corrections/SA,0,5126.0
prison/Persons_in_community_based_corrections/WA,0,5609.0
prison/Persons_in_community_based_corrections/Tas,0,2085.0
prison/Persons_in_community_based_corrections/NT,0,1163.0
prison/Persons_in_community_based_corrections/ACT,0,875.0
prison/Persons_in_community_based_corrections/Aust,0,77715.0
prison/Persons_in_community_based_corrections/NSW,1,34555.0
prison/Persons_in_community_based_corrections/Vic,1,10713.0
prison/Persons_in_community_based_corrections/Qld,1,18930.0
prison/Persons_in_community_based_corrections/SA,1,5109.0
prison/Persons_in_community_based_corrections/WA,1,5988.0
prison/Persons_in_community_based_corrections/Tas,1,1970.0
prison/Persons_in_community_based_corrections/NT,1,1331.0
prison/Persons_in_community_based_corrections/ACT,1,745.0
prison/Persons_in_community_based_corrections/Aust,1,79342.0
prison/Persons_in_community_based_corrections/NSW,2,35228.0
prison/Persons_in_community_based_corrections/Vic,2,10728.0
prison/Persons_in_community_based_corrections/Qld,2,18694.0
prison/Persons_in_community_based_corrections/SA,2,5195.0
prison/Persons_in_community_based_corrections/WA,2,6049.0
prison/Persons_in_community_based_corrections/Tas,2,1953.0
prison/Persons_in_community_based_corrections/NT,2,1384.0
prison/Persons_in_community_based_corrections/ACT,2,754.0
prison/Persons_in_community_based_corrections/Aust,2,79984.0
